experiment_id,epoch,train_loss,val_loss,best_val_loss,epoch_time_s,lr
E2_label_smoothing_0p1,1,6.154716156094621,5.852981079250673,5.852981079250673,313.3,
E2_label_smoothing_0p1,2,5.678402962633247,5.597130808993029,5.597130808993029,293.9,
E2_label_smoothing_0p1,3,5.4904067103065515,5.454122528926344,5.454122528926344,284.1,
E2_label_smoothing_0p1,4,5.355651353354682,5.341493100032585,5.341493100032585,290.8,
E2_label_smoothing_0p1,5,5.246110203355463,5.2567101253922495,5.2567101253922495,473.8,
E2_label_smoothing_0p1,6,5.155059323212454,5.184525423819531,5.184525423819531,271.6,
E2_label_smoothing_0p1,7,5.080067288816464,5.135419975043868,5.135419975043868,476.8,
E2_label_smoothing_0p1,8,5.0164617230199475,5.089992793607227,5.089992793607227,300.4,
E2_label_smoothing_0p1,9,4.9618470902569936,5.061027304906947,5.061027304906947,286.0,
E2_label_smoothing_0p1,10,4.913477235319499,5.024333360205253,5.024333360205253,284.8,
E2_label_smoothing_0p1,11,4.8701000413767,4.997913469444103,4.997913469444103,285.8,
E2_label_smoothing_0p1,12,4.8318218977287595,4.9710281358628,4.9710281358628,280.5,
E2_label_smoothing_0p1,13,4.798141103868658,4.946875506302886,4.946875506302886,281.9,
E2_label_smoothing_0p1,14,4.766370634056825,4.929190124980525,4.929190124980525,289.0,
E2_label_smoothing_0p1,15,4.737333002991334,4.911622393896781,4.911622393896781,287.9,
E2_label_smoothing_0p1,16,4.710724076566108,4.895406501181307,4.895406501181307,282.7,
E2_label_smoothing_0p1,17,4.68556652966792,4.882096049206478,4.882096049206478,283.1,
E2_label_smoothing_0p1,18,4.661590682132447,4.8672467625314,4.8672467625314,282.6,
E2_label_smoothing_0p1,19,4.639599295498052,4.856574703871233,4.856574703871233,284.0,
E2_label_smoothing_0p1,20,4.617977462144467,4.844731196791999,4.844731196791999,284.1,
E2_label_smoothing_0p1,21,4.599885542196304,4.8363400892149295,4.8363400892149295,284.8,
E2_label_smoothing_0p1,22,4.58130577532602,4.822595844652742,4.822595844652742,279.3,
E2_label_smoothing_0p1,23,4.564358992808527,4.816917096281185,4.816917096281185,285.9,
E2_label_smoothing_0p1,24,4.546998761323749,4.80137310985358,4.80137310985358,289.1,
E2_label_smoothing_0p1,25,4.529704928223947,4.79312162477455,4.79312162477455,294.0,
E2_label_smoothing_0p1,26,4.516258664852454,4.788364068329963,4.788364068329963,285.8,
E2_label_smoothing_0p1,27,4.501013769146474,4.778411239758705,4.778411239758705,277.4,
E2_label_smoothing_0p1,28,4.48726749013831,4.762851356225305,4.762851356225305,282.2,
E2_label_smoothing_0p1,29,4.474042936899031,4.760976296077598,4.760976296077598,285.9,
E2_label_smoothing_0p1,30,4.461761184033573,4.751916966631124,4.751916966631124,288.6,
E2_label_smoothing_0p1,31,4.448413590266096,4.748142779608906,4.748142779608906,281.6,
E2_label_smoothing_0p1,32,4.436261992987616,4.744666433222689,4.744666433222689,278.9,
E2_label_smoothing_0p1,33,4.424531408918691,4.739719183737229,4.739719183737229,283.1,
E2_label_smoothing_0p1,34,4.4134928475486035,4.731811502629826,4.731811502629826,289.2,
E2_label_smoothing_0p1,35,4.403718664570567,4.726755592808641,4.726755592808641,289.5,
E2_label_smoothing_0p1,36,4.394198324416841,4.718570914878766,4.718570914878766,281.6,
E2_label_smoothing_0p1,37,4.383115745040928,4.715988225790012,4.715988225790012,281.0,
E2_label_smoothing_0p1,38,4.372379219938431,4.711934245922196,4.711934245922196,283.8,
E2_label_smoothing_0p1,39,4.362388498497909,4.702916827189389,4.702916827189389,279.8,
E2_label_smoothing_0p1,40,4.3541588741127075,4.703972724947877,4.702916827189389,286.2,
e2,41,4.342666699119959,4.700909059691685,4.700909059691685,955.6,0.0003
e2,42,4.335608086988505,4.689228667511141,4.689228667511141,959.4,0.0003
e2,43,4.3262838439067375,4.684306781270274,4.684306781270274,959.6,0.0003
e2,44,4.317907584398603,4.682282789198222,4.682282789198222,962.3,0.0003
e2,45,4.310152969881583,4.676717989532559,4.676717989532559,962.9,0.0003
e2,46,4.300824080771615,4.671325052406169,4.671325052406169,968.5,0.0003
e2,47,4.292675503004913,4.67476768920113,4.671325052406169,970.4,0.0003
e2,48,4.285718761605684,4.672781750499413,4.671325052406169,966.8,0.0003
e2,49,4.278588548672844,4.666538990436132,4.666538990436132,959.5,0.0003
e2,50,4.270299634046847,4.660798522745995,4.660798522745995,961.5,0.0003
e2,51,4.264172223040761,4.662774344108174,4.660798522745995,957.4,0.0003
e2,52,4.254966765931892,4.658166709917253,4.658166709917253,958.7,0.0003
e2,53,4.250305812124339,4.656203041911544,4.656203041911544,954.8,0.0003
e2,54,4.244414874884637,4.652142330836382,4.652142330836382,954.8,0.0003
e2,55,4.236813464148186,4.646530046899351,4.646530046899351,955.0,0.0003
e2,56,4.2307082272068826,4.644174227185864,4.644174227185864,969.8,0.0003
e2,57,4.223476377605574,4.640882052012116,4.640882052012116,976.0,0.0003
e2,58,4.218009984089345,4.637731737911428,4.637731737911428,1007.3,0.0003
e2,59,4.211822290494421,4.632534969328631,4.632534969328631,1451.4,0.0003
e2,60,4.205566727323528,4.637710122753776,4.632534969328631,921.8,0.0003
