epoch,train_loss,val_loss,best_val_loss,device
1,5.7877,5.444,5.444,cuda (RTX 5000)
2,5.261,5.1857,5.1857,cuda (RTX 5000)
3,5.0376,5.0053,5.0053,cuda (RTX 5000)
4,4.8802,4.8904,4.8904,cuda (RTX 5000)
5,4.757,4.8061,4.8061,cuda (RTX 5000)
6,4.6607,4.7482,4.7482,cuda (RTX 5000)
7,4.5818,4.7034,4.7034,cuda (RTX 5000)
8,4.5161,4.6611,4.6611,cuda (RTX 5000)
9,4.4564,4.6254,4.6254,cuda (RTX 5000)
10,4.4077,4.5966,4.5966,cuda (RTX 5000)
11,4.3617,4.5738,4.5738,cuda (RTX 5000)
12,4.3228,4.5536,4.5536,cuda (RTX 5000)
13,4.2861,4.5309,4.5309,cuda (RTX 5000)
14,4.2524,4.5201,4.5201,cuda (RTX 5000)
15,4.2224,4.5056,4.5056,cuda (RTX 5000)
16,4.194,4.4819,4.4819,cuda (RTX 5000)
17,4.1664,4.475,4.475,cuda (RTX 5000)
18,4.1416,4.4579,4.4579,cuda (RTX 5000)
19,4.1184,4.4497,4.4497,cuda (RTX 5000)
20,4.0949,4.4402,4.4402,cuda (RTX 5000)
21,4.0739,4.4316,4.4316,cuda (RTX 5000)
22,4.0532,4.4202,4.4202,cuda (RTX 5000)
23,4.0334,4.4087,4.4087,cuda (RTX 5000)
24,4.0149,4.4038,4.4038,cuda (RTX 5000)
25,3.9971,4.3954,4.3954,cuda (RTX 5000)
26,3.9796,4.3879,4.3879,cuda (RTX 5000)
27,3.9635,4.3817,4.3817,cuda (RTX 5000)
28,3.9489,4.3663,4.3663,cuda (RTX 5000)
29,3.9325,4.3606,4.3606,cuda (RTX 5000)
30,3.9184,4.3537,4.3537,cuda (RTX 5000)
31,3.9046,4.3528,4.3528,cuda (RTX 5000)
32,3.8896,4.3485,4.3485,cuda (RTX 5000)
33,3.8773,4.3396,4.3396,cuda (RTX 5000)
34,3.8644,4.3325,4.3325,cuda (RTX 5000)
35,3.8524,4.3281,4.3281,cuda (RTX 5000)
36,3.8388,4.3284,4.3281,cuda (RTX 5000)
37,3.8279,4.3184,4.3184,cuda (RTX 5000)
38,3.8161,4.3172,4.3172,cuda (RTX 5000)
39,3.8043,4.306,4.306,cuda (RTX 5000)
40,3.7933,4.3041,4.3041,cuda (RTX 5000)
41,3.7827,4.3013,4.3013,cuda (RTX 5000)
42,3.7724,4.288,4.288,cuda (RTX 5000)
43,3.7606,4.2924,4.288,cuda (RTX 5000)
44,3.7528,4.2887,4.288,cuda (RTX 5000)
45,3.7416,4.2795,4.2795,cuda (RTX 5000)
46,3.7334,4.2835,4.2795,cuda (RTX 5000)
47,3.7225,4.272,4.272,cuda (RTX 5000)
48,3.7132,4.2738,4.272,cuda (RTX 5000)
49,3.7058,4.2654,4.2654,cuda (RTX 5000)
50,3.6959,4.2609,4.2609,cuda (RTX 5000)
51,3.6869,4.2623,4.2609,cuda (RTX 5000)
52,3.6797,4.2611,4.2609,cuda (RTX 5000)
53,3.6722,4.2521,4.2521,cuda (RTX 5000)
54,3.6615,4.2525,4.2521,cuda (RTX 5000)
55,3.6555,4.2416,4.2416,cuda (RTX 5000)
56,3.648,4.2435,4.2416,cuda (RTX 5000)
57,3.6403,4.2405,4.2405,cuda (RTX 5000)
58,3.6333,4.243,4.2405,cuda (RTX 5000)
59,3.6251,4.235,4.235,cuda (RTX 5000)
60,3.6189,4.2345,4.2345,cuda (RTX 5000)
