epoch,train_loss,val_loss,best_val_loss,device
1,6.4237,5.9142,5.9142,cuda (RTX 5000)
2,5.7133,5.6623,5.6623,cuda (RTX 5000)
3,5.487,5.5011,5.5011,cuda (RTX 5000)
4,5.3268,5.4019,5.4019,cuda (RTX 5000)
5,5.1975,5.3279,5.3279,cuda (RTX 5000)
6,5.0909,5.2644,5.2644,cuda (RTX 5000)
7,4.9917,5.2158,5.2158,cuda (RTX 5000)
8,4.9015,5.1541,5.1541,cuda (RTX 5000)
9,4.8129,5.1169,5.1169,cuda (RTX 5000)
10,4.7287,5.0869,5.0869,cuda (RTX 5000)
11,4.6488,5.0589,5.0589,cuda (RTX 5000)
12,4.5746,5.0414,5.0414,cuda (RTX 5000)
13,4.5003,5.0309,5.0309,cuda (RTX 5000)
14,4.4289,5.0134,5.0134,cuda (RTX 5000)
15,4.3609,5.0018,5.0018,cuda (RTX 5000)
16,4.2942,4.9954,4.9954,cuda (RTX 5000)
17,4.233,5.0001,4.9954,cuda (RTX 5000)
18,4.1735,4.9963,4.9954,cuda (RTX 5000)
19,4.1135,5.0024,4.9954,cuda (RTX 5000)
20,4.0578,5.0076,4.9954,cuda (RTX 5000)
21,4.0063,5.013,4.9954,cuda (RTX 5000)
22,3.9555,5.013,4.9954,cuda (RTX 5000)
23,3.9045,5.0269,4.9954,cuda (RTX 5000)
24,3.8577,5.042,4.9954,cuda (RTX 5000)
25,3.8072,5.0561,4.9954,cuda (RTX 5000)
26,3.7631,5.0746,4.9954,cuda (RTX 5000)
27,3.7168,5.0802,4.9954,cuda (RTX 5000)
28,3.6728,5.1011,4.9954,cuda (RTX 5000)
29,3.6375,5.1126,4.9954,cuda (RTX 5000)
30,3.5939,5.126,4.9954,cuda (RTX 5000)
31,3.552,5.147,4.9954,cuda (RTX 5000)
32,3.5194,5.1652,4.9954,cuda (RTX 5000)
33,3.481,5.1932,4.9954,cuda (RTX 5000)
34,3.4437,5.2036,4.9954,cuda (RTX 5000)
35,3.4104,5.2205,4.9954,cuda (RTX 5000)
36,3.3789,5.235,4.9954,cuda (RTX 5000)
37,3.3483,5.2615,4.9954,cuda (RTX 5000)
38,3.3109,5.2792,4.9954,cuda (RTX 5000)
39,3.279,5.2981,4.9954,cuda (RTX 5000)
40,3.2535,5.3187,4.9954,cuda (RTX 5000)
41,3.2232,5.341,4.9954,cuda (RTX 5000)
42,3.1965,5.3523,4.9954,cuda (RTX 5000)
43,3.1705,5.3759,4.9954,cuda (RTX 5000)
44,3.1401,5.3899,4.9954,cuda (RTX 5000)
45,3.1167,5.4139,4.9954,cuda (RTX 5000)
46,3.0899,5.4191,4.9954,cuda (RTX 5000)
47,3.067,5.4472,4.9954,cuda (RTX 5000)
48,3.04,5.4578,4.9954,cuda (RTX 5000)
49,3.0232,5.4798,4.9954,cuda (RTX 5000)
50,2.9941,5.5031,4.9954,cuda (RTX 5000)
51,2.9772,5.5177,4.9954,cuda (RTX 5000)
52,2.9508,5.5402,4.9954,cuda (RTX 5000)
53,2.9336,5.5523,4.9954,cuda (RTX 5000)
54,2.9063,5.5792,4.9954,cuda (RTX 5000)
55,2.8907,5.5989,4.9954,cuda (RTX 5000)
56,2.8706,5.6101,4.9954,cuda (RTX 5000)
57,2.8505,5.6384,4.9954,cuda (RTX 5000)
58,2.8283,5.643,4.9954,cuda (RTX 5000)
59,2.815,5.6705,4.9954,cuda (RTX 5000)
60,2.7973,5.6807,4.9954,cuda (RTX 5000)
