experiment_id,epoch,train_loss,val_loss,best_val_loss,lr,epoch_time_s
E3,1,5.683302535621505,5.3147354363042325,5.3147354363042325,0.0003,294.5
E3,2,5.1107701189553,5.00607575230434,5.00607575230434,0.0003,290.2
E3,3,4.877518878332687,4.825552710217312,4.825552710217312,0.0003,289.7
E3,4,4.7085988911720875,4.696621315292246,4.696621315292246,0.0003,288.0
E3,5,4.570633931440172,4.58846743987464,4.58846743987464,0.0003,287.9
E3,6,4.45793787287293,4.510585728759305,4.510585728759305,0.0003,290.6
E3,7,4.363698394538041,4.454403858984482,4.454403858984482,0.0003,293.6
E3,8,4.28348138969505,4.400853940562967,4.400853940562967,0.0003,293.4
E3,9,4.214332027854152,4.370421786721865,4.370421786721865,0.0003,291.7
E3,10,4.152328082374824,4.3282611485828015,4.3282611485828015,0.0003,293.7
E3,11,4.097634748286679,4.302341591675174,4.302341591675174,0.0003,288.2
E3,12,4.0471937151108826,4.2703457080726315,4.2703457080726315,0.0003,292.5
E3,13,4.003291804351691,4.243371169985624,4.243371169985624,0.0003,292.5
E3,14,3.9617737955532624,4.22538649861924,4.22538649861924,0.0003,291.8
E3,15,3.923206748066181,4.204640087872639,4.204640087872639,0.0003,290.5
E3,16,3.8876962050728747,4.188528180283425,4.188528180283425,0.0003,287.6
E3,17,3.853503784848578,4.174226047788065,4.174226047788065,0.0003,293.0
E3,18,3.822607501477485,4.161806214771581,4.161806214771581,0.0003,292.5
E3,19,3.792901497124509,4.144203586813717,4.144203586813717,0.0003,291.4
E3,20,3.7648788507738824,4.130720132000434,4.130720132000434,0.0003,289.7
E3,21,3.7393663498710086,4.130783626842765,4.130720132000434,0.0003,286.3
E3,22,3.7151317658772305,4.118610912643552,4.118610912643552,0.0003,289.3
E3,23,3.690896251117298,4.112400461185905,4.112400461185905,0.0003,292.6
E3,24,3.668051723970436,4.090867013552485,4.090867013552485,0.0003,290.5
E3,25,3.6467125893702756,4.086371975246554,4.086371975246554,0.0003,288.5
E3,26,3.6282707518456876,4.079778565207785,4.079778565207785,0.0003,289.1
E3,27,3.6064698930421044,4.075177342647112,4.075177342647112,0.0003,287.0
E3,28,3.589548753055152,4.061098612859036,4.061098612859036,0.0003,289.1
E3,29,3.570869673888442,4.0603053801813225,4.0603053801813225,0.0003,290.0
E3,30,3.5538308375193446,4.054736509426622,4.054736509426622,0.0003,288.0
E3,31,3.537718655805467,4.0467486900004745,4.0467486900004745,0.0003,288.0
E3,32,3.5221398170236595,4.043021355686258,4.043021355686258,0.0003,287.1
E3,33,3.5063598187439506,4.036327206969293,4.036327206969293,0.0003,288.5
E3,34,3.4901981179112913,4.029727461949389,4.029727461949389,0.0003,290.9
E3,35,3.478249619183834,4.0300716025908985,4.029727461949389,0.0003,289.8
E3,36,3.463837179471041,4.0197999868738234,4.0197999868738234,0.0003,286.8
E3,37,3.4504924370434464,4.0229999125460125,4.0197999868738234,0.0003,287.3
E3,38,3.4384831946103667,4.011928753048452,4.011928753048452,0.0003,289.8
E3,39,3.4241914586414284,4.006212530356854,4.006212530356854,0.0003,287.9
E3,40,3.413565998445826,4.011365126695953,4.006212530356854,0.0003,289.6
e3,41,3.397812703749261,4.010399555200115,4.006212530356854,0.0003,941.1
e3,42,3.38740973741879,4.005154553323375,4.005154553323375,0.0003,930.9
e3,43,3.3755555572024973,3.997195907361892,3.997195907361892,0.0003,937.1
e3,44,3.36556867516204,3.9953443645990765,3.9953443645990765,0.0003,934.0
e3,45,3.35397936682452,3.9922921256654855,3.9922921256654855,0.0003,930.5
e3,46,3.3426350362177324,3.9866494827954218,3.9866494827954218,0.0003,936.7
e3,47,3.3322126759115815,3.9937090740368775,3.9866494827954218,0.0003,941.0
e3,48,3.321425319463171,3.987635550708972,3.9866494827954218,0.0003,942.3
e3,49,3.31341485843634,3.9856578359236257,3.9856578359236257,0.0003,933.4
e3,50,3.3013371324985656,3.978404949626804,3.978404949626804,0.0003,937.1
e3,51,3.292792106323705,3.977483429834025,3.977483429834025,0.0003,920.2
e3,52,3.28369992225651,3.9759008207590014,3.9759008207590014,0.0003,939.7
e3,53,3.2751874434269674,3.9805130267759536,3.9759008207590014,0.0003,941.6
e3,54,3.268653573110901,3.975673738496965,3.975673738496965,0.0003,941.0
e3,55,3.257886181306443,3.969043958888208,3.969043958888208,0.0003,933.0
e3,56,3.2494418980421855,3.967745465759027,3.967745465759027,0.0003,936.2
e3,57,3.241688050247959,3.9715385319230405,3.967745465759027,0.0003,944.3
e3,58,3.233315575999467,3.9734394888099245,3.967745465759027,0.0003,967.1
e3,59,3.2259649626114197,3.9689097801629547,3.967745465759027,0.0003,1179.3
e3,60,3.218436672460154,3.9658996352932103,3.9658996352932103,0.0003,1413.0
