epoch,train_loss,val_loss,best_val_loss,learning_rate,epoch_time,total_elapsed_time,checkpoint_improved,experiment_id,lr,epoch_time_s
1,5.684126164056476,5.317300655042375,5.317300655042375,0.0003,440.08629322052,440.08629322052,True,,,
2,5.108887781683716,5.003188609067657,5.003188609067657,0.0003,448.4680459499359,888.5543391704559,True,,,
3,4.875812991267096,4.822260828562753,4.822260828562753,0.0003,470.1924073696137,1358.7467465400696,True,,,
4,4.694864121239754,4.700436962774978,4.700436962774978,0.0003,448.5914933681488,1807.3382399082184,True,,,
5,4.553101170427266,4.582871813887059,4.582871813887059,0.0003,453.2873010635376,2260.625540971756,True,,,
6,4.416257069173306,4.52347874901246,4.52347874901246,0.0003,455.74799370765686,2716.373534679413,True,,,
7,4.279558196868082,4.478927723300422,4.478927723300422,0.0003,467.4459156990051,3183.819450378418,True,,,
8,4.165814561747972,4.452669835011186,4.452669835011186,0.0003,470.389851808548,3654.209302186966,True,,,
9,4.215140245211907,4.392923177539427,4.392923177539427,0.0003,461.9000642299652,4116.109366416931,True,,,
10,4.178178131616093,4.359271427408958,4.359271427408958,0.0003,468.7829225063324,4584.892288923264,True,,,
11,4.133625529037238,4.32709229867501,4.32709229867501,0.0003,468.1321096420288,5053.024398565292,True,,,
12,4.079620964325117,4.294239606222118,4.294239606222118,0.0003,469.6985008716583,5522.722899436951,True,,,
13,4.031548135857078,4.262339019049591,4.262339019049591,0.0003,466.5975890159607,5989.320488452911,True,,,
14,3.9879282129877804,4.251547684317761,4.251547684317761,0.0003,469.2026641368866,6458.523152589798,True,,,
15,3.9475014768818544,4.229253412151964,4.229253412151964,0.0003,471.2468330860138,6929.769985675812,True,,,
16,3.910275429819884,4.206741725143351,4.206741725143351,0.0003,472.6678750514984,7402.43786072731,True,,,
17,3.874240860134646,4.191261161257316,4.191261161257316,0.0003,471.754563331604,7874.192424058914,True,,,
18,3.8426812632107743,4.181327569949609,4.181327569949609,0.0003,472.60573863983154,8346.798162698746,True,,,
19,3.811327228151631,4.164107187904667,4.164107187904667,0.0003,471.2975900173187,8818.095752716064,True,,,
20,3.7830382772548106,4.15225929771792,4.15225929771792,0.0003,471.59705901145935,9289.692811727524,True,,,
21,3.7562239003284406,4.13486571646076,4.13486571646076,0.0003,469.39371824264526,9759.086529970169,True,,,
22,3.730934083409383,4.1269926288949685,4.1269926288949685,0.0003,469.09370017051697,10228.180230140686,True,,,
23,3.7062895550165242,4.11610394651306,4.11610394651306,0.0003,469.75088238716125,10697.931112527847,True,,,
24,3.6835957733915814,4.111871201691622,4.111871201691622,0.0003,468.37684202194214,11166.30795454979,True,,,
