epoch,train_loss,val_loss,best_val_loss,learning_rate,epoch_time,total_elapsed_time,checkpoint_improved,experiment_id,lr,epoch_time_s
25,3.6608039621744766,4.099588489109446,4.099588489109446,0.0003,468.80279660224915,11635.110751152039,True,,,
26,3.6404447709348307,4.093105135109578,4.093105135109578,0.0003,461.15374541282654,12096.264496564865,True,,,
27,3.61937613013601,4.080760816276734,4.080760816276734,0.0003,463.5793123245239,12559.843808889389,True,,,
28,3.601979841992202,4.08637181889911,4.080760816276734,0.0003,462.657173871994,13022.500982761383,False,,,
29,3.5830108458024927,4.07502231774626,4.07502231774626,0.0003,473.4941248893738,13495.995107650757,True,,,
30,3.565264867575885,4.070271838788223,4.070271838788223,0.0003,460.4405484199524,13956.43565607071,True,,,
31,3.548349576707286,4.052359130622395,4.052359130622395,0.0003,463.0288231372833,14419.464479207993,True,,,
32,3.531838467303451,4.053547502412223,4.052359130622395,0.0003,464.3223876953125,14883.786866903305,False,,,
33,3.516504938333225,4.051392203804008,4.051392203804008,0.0003,460.39784145355225,15344.184708356857,True,,,
34,3.500587940233113,4.045109500382963,4.045109500382963,0.0003,461.8172388076782,15806.001947164536,True,,,
35,3.485897298836171,4.036714918922865,4.036714918922865,0.0003,456.54814171791077,16262.550088882446,True,,,
36,3.4720510629305346,4.040342953240969,4.036714918922865,0.0003,456.74761486053467,16719.29770374298,False,,,
37,3.4583414240421817,4.029449766384184,4.029449766384184,0.0003,463.4090588092804,17182.70676255226,True,,,
38,3.4449733712960438,4.0267233678824965,4.0267233678824965,0.0003,457.6939091682434,17640.400671720505,True,,,
39,3.4315700095628356,4.020097476882268,4.020097476882268,0.0003,459.8757688999176,18100.276440620422,True,,,
40,3.420148577309761,4.016554656881669,4.016554656881669,0.0003,458.11808919906616,18558.39452981949,True,,,
41,3.3856592016761726,4.016236347786255,4.016236347786255,,,,,e0,0.0003,932.5
42,3.3843331805080017,4.0129037679213395,4.0129037679213395,,,,,e0,0.0003,938.5
43,3.376280761129385,4.007594297375215,4.007594297375215,,,,,e0,0.0003,943.4
44,3.367736599648194,4.006348816540868,4.006348816540868,,,,,e0,0.0003,932.5
45,3.3566746257896654,4.003050393471146,4.003050393471146,,,,,e0,0.0003,935.7
46,3.346081845344701,4.0025630217999435,4.0025630217999435,,,,,e0,0.0003,925.7
47,3.335648926300823,4.003007355771773,4.0025630217999435,,,,,e0,0.0003,953.7
48,3.326263355663406,4.000716469078077,4.000716469078077,,,,,e0,0.0003,935.2
49,3.3159630066281296,3.9884362834472435,3.9884362834472435,,,,,e0,0.0003,938.0
50,3.306074582055279,3.9921474807124775,3.9884362834472435,,,,,e0,0.0003,934.9
51,3.297157742280083,3.991624042911164,3.9884362834472435,,,,,e0,0.0003,930.3
52,3.285412851092466,3.9836586482952407,3.9836586482952407,,,,,e0,0.0003,929.1
53,3.279590384303671,3.9856609922587887,3.9836586482952407,,,,,e0,0.0003,939.0
54,3.2695659025710437,3.9816218841766267,3.9816218841766267,,,,,e0,0.0003,932.5
55,3.2605899894926327,3.97943082761305,3.97943082761305,,,,,e0,0.0003,935.3
56,3.2522596789751828,3.9722471297200626,3.9722471297200626,,,,,e0,0.0003,939.7
57,3.245175068591184,3.976117230026419,3.9722471297200626,,,,,e0,0.0003,948.7
58,3.235972870847365,3.9755650623139096,3.9722471297200626,,,,,e0,0.0003,962.2
59,3.228293567904619,3.972740038175857,3.9722471297200626,,,,,e0,0.0003,1159.9
60,3.220718996191822,3.977881702390714,3.9722471297200626,,,,,e0,0.0003,1413.8
