epoch,train_loss,val_loss,best_val_loss,device
1,5.6985,5.3624,5.3624,cuda (RTX 5000)
2,5.1171,5.1043,5.1043,cuda (RTX 5000)
3,4.8947,4.9611,4.9611,cuda (RTX 5000)
4,4.7353,4.8392,4.8392,cuda (RTX 5000)
5,4.6064,4.7582,4.7582,cuda (RTX 5000)
6,4.4955,4.6882,4.6882,cuda (RTX 5000)
7,4.3977,4.6265,4.6265,cuda (RTX 5000)
8,4.3103,4.5802,4.5802,cuda (RTX 5000)
9,4.2329,4.5418,4.5418,cuda (RTX 5000)
10,4.1633,4.529,4.529,cuda (RTX 5000)
11,4.1018,4.4925,4.4925,cuda (RTX 5000)
12,4.0465,4.4871,4.4871,cuda (RTX 5000)
13,3.9947,4.4551,4.4551,cuda (RTX 5000)
14,3.9464,4.4546,4.4546,cuda (RTX 5000)
15,3.9036,4.4369,4.4369,cuda (RTX 5000)
16,3.8611,4.4244,4.4244,cuda (RTX 5000)
17,3.8243,4.416,4.416,cuda (RTX 5000)
18,3.7866,4.418,4.416,cuda (RTX 5000)
19,3.7532,4.4011,4.4011,cuda (RTX 5000)
20,3.721,4.4039,4.4011,cuda (RTX 5000)
21,3.6898,4.3894,4.3894,cuda (RTX 5000)
22,3.6633,4.3886,4.3886,cuda (RTX 5000)
23,3.6372,4.3833,4.3833,cuda (RTX 5000)
24,3.6114,4.3781,4.3781,cuda (RTX 5000)
25,3.5866,4.3716,4.3716,cuda (RTX 5000)
26,3.5629,4.371,4.371,cuda (RTX 5000)
27,3.5414,4.3683,4.3683,cuda (RTX 5000)
28,3.5212,4.3604,4.3604,cuda (RTX 5000)
29,3.4985,4.3661,4.3604,cuda (RTX 5000)
30,3.4788,4.3563,4.3563,cuda (RTX 5000)
31,3.461,4.3543,4.3543,cuda (RTX 5000)
32,3.4421,4.3566,4.3543,cuda (RTX 5000)
33,3.4244,4.3624,4.3543,cuda (RTX 5000)
34,3.4077,4.3473,4.3473,cuda (RTX 5000)
35,3.3901,4.3487,4.3473,cuda (RTX 5000)
36,3.3746,4.3442,4.3442,cuda (RTX 5000)
37,3.3593,4.3521,4.3442,cuda (RTX 5000)
38,3.3444,4.3501,4.3442,cuda (RTX 5000)
39,3.3292,4.3433,4.3433,cuda (RTX 5000)
40,3.3172,4.3367,4.3367,cuda (RTX 5000)
41,3.3027,4.3491,4.3367,cuda (RTX 5000)
42,3.2894,4.343,4.3367,cuda (RTX 5000)
43,3.2745,4.3417,4.3367,cuda (RTX 5000)
44,3.2622,4.348,4.3367,cuda (RTX 5000)
45,3.2503,4.3447,4.3367,cuda (RTX 5000)
46,3.2379,4.3433,4.3367,cuda (RTX 5000)
47,3.2278,4.3404,4.3367,cuda (RTX 5000)
48,3.2157,4.3418,4.3367,cuda (RTX 5000)
49,3.2037,4.3488,4.3367,cuda (RTX 5000)
50,3.1922,4.336,4.336,cuda (RTX 5000)
51,3.1826,4.3452,4.336,cuda (RTX 5000)
52,3.1703,4.3495,4.336,cuda (RTX 5000)
53,3.1614,4.3397,4.336,cuda (RTX 5000)
54,3.1499,4.3454,4.336,cuda (RTX 5000)
55,3.1419,4.3393,4.336,cuda (RTX 5000)
56,3.1324,4.3474,4.336,cuda (RTX 5000)
57,3.1216,4.3367,4.336,cuda (RTX 5000)
58,3.1119,4.3361,4.336,cuda (RTX 5000)
59,3.1042,4.3434,4.336,cuda (RTX 5000)
60,3.0963,4.3356,4.3356,cuda (RTX 5000)
