name,beam,lp,no_repeat_ngram,examples,bleu,chrf_pp,repetition,repetition_pct,adequate,low_overlap,over_generation,severe_omission,empty,decode_s
beam5 lp1.0 nr3,5,1.0,3,1000,7.6441,26.1775,96,9.6,616,232,9,47,0,32.5
beam3 lp1.0,3,1.0,0,1000,7.6318,24.7841,429,42.9,371,162,12,26,0,29.6
beam3 lp1.0 nr3,3,1.0,3,1000,7.5944,26.3897,114,11.4,625,217,12,32,0,25.7
beam3 lp0.8,3,0.8,0,1000,7.5188,24.5625,395,39.5,382,176,12,35,0,30.4
beam3 lp1.0 nr2,3,1.0,2,1000,7.3921,26.4252,0,0.0,720,233,12,35,0,25.5
beam3 lp1.2,3,1.2,0,1000,7.333,25.1918,473,47.3,345,147,14,21,0,29.0
beam5 lp1.0 nr2,5,1.0,2,1000,7.3001,25.7749,0,0.0,704,230,8,58,0,29.4
greedy,1,1.0,0,1000,6.2399,24.2011,474,47.4,336,150,14,26,0,41.1
