epoch,train_loss
1,8.707735407975418
2,7.826372010186248
3,7.049848624517476
4,6.351006573760689
5,5.823230819009488
6,5.460268243632557
7,5.192185643080381
8,4.9850459398686935
9,4.814992107681936
10,4.648046830568407
11,4.471620731167924
12,4.325690899621712
13,4.180537309131335
14,4.052555771397742
15,3.883992962545795
16,3.762200823286342
17,3.631946750612149
18,3.4784942560221266
19,3.341428183157746
20,3.1702207963587017
21,3.029297312769455
22,2.884312824193517
23,2.7680809390133096
24,2.635892869309053
25,2.5065361741794963
26,2.3643953544677516
27,2.2280256748199463
28,2.1258880815429957
29,1.9780382182980345
30,1.8826729840573428
31,1.7489896392906736
32,1.6473172875607933
33,1.5305071888611947
34,1.4246714570228773
35,1.3253385473712553
36,1.1912148953328838
37,1.0814856063802227
38,1.006971944318185
39,0.9366195737734846
40,0.8489964879963439
41,0.7863462910491666
42,0.7248684542172772
43,0.6441767662367639
44,0.5838120448262001
45,0.5550472872567662
46,0.5164866813048522
47,0.47903451664031765
48,0.41958554676404775
49,0.40763551485126687
50,0.3654954687645205
51,0.3345386974308953
52,0.3124637288578429
53,0.3048592131944543
54,0.28423199284594075
55,0.2581336483742095
56,0.2360321431560153
57,0.22556683586116805
58,0.21040088602195703
59,0.19784518985277366
60,0.18485835491555047
