epoch,train_loss,val_loss
1,6.396009529764071,5.893121444072034
2,5.681048534352794,5.663629886235008
3,5.462038199430315,5.5062571528966515
4,5.30196825027871,5.395732344136328
5,5.1715969275232965,5.318612759321389
6,5.061503741018708,5.253139663814135
7,4.963524250733491,5.201230800185109
8,4.869491525476813,5.160154232450147
9,4.782558713111736,5.1183987280532905
10,4.699986682196975,5.081285426114836
11,4.618636727896765,5.061476657919483
12,4.541497608517056,5.045079868956212
13,4.46814263286783,5.022113465000184
14,4.399134756421511,5.014412282705629
15,4.331515962080061,5.011807372202199
