experiment_id,epoch,train_loss,val_loss,best_val_loss,epoch_time_s
E2_label_smoothing_0p1,1,6.154716156094621,5.852981079250673,5.852981079250673,313.3
E2_label_smoothing_0p1,2,5.678402962633247,5.597130808993029,5.597130808993029,293.9
E2_label_smoothing_0p1,3,5.4904067103065515,5.454122528926344,5.454122528926344,284.1
E2_label_smoothing_0p1,4,5.355651353354682,5.341493100032585,5.341493100032585,290.8
E2_label_smoothing_0p1,5,5.246110203355463,5.2567101253922495,5.2567101253922495,473.8
E2_label_smoothing_0p1,6,5.155059323212454,5.184525423819531,5.184525423819531,271.6
E2_label_smoothing_0p1,7,5.080067288816464,5.135419975043868,5.135419975043868,476.8
E2_label_smoothing_0p1,8,5.0164617230199475,5.089992793607227,5.089992793607227,300.4
E2_label_smoothing_0p1,9,4.9618470902569936,5.061027304906947,5.061027304906947,286.0
E2_label_smoothing_0p1,10,4.913477235319499,5.024333360205253,5.024333360205253,284.8
E2_label_smoothing_0p1,11,4.8701000413767,4.997913469444103,4.997913469444103,285.8
E2_label_smoothing_0p1,12,4.8318218977287595,4.9710281358628,4.9710281358628,280.5
E2_label_smoothing_0p1,13,4.798141103868658,4.946875506302886,4.946875506302886,281.9
E2_label_smoothing_0p1,14,4.766370634056825,4.929190124980525,4.929190124980525,289.0
E2_label_smoothing_0p1,15,4.737333002991334,4.911622393896781,4.911622393896781,287.9
E2_label_smoothing_0p1,16,4.710724076566108,4.895406501181307,4.895406501181307,282.7
E2_label_smoothing_0p1,17,4.68556652966792,4.882096049206478,4.882096049206478,283.1
E2_label_smoothing_0p1,18,4.661590682132447,4.8672467625314,4.8672467625314,282.6
E2_label_smoothing_0p1,19,4.639599295498052,4.856574703871233,4.856574703871233,284.0
E2_label_smoothing_0p1,20,4.617977462144467,4.844731196791999,4.844731196791999,284.1
E2_label_smoothing_0p1,21,4.599885542196304,4.8363400892149295,4.8363400892149295,284.8
E2_label_smoothing_0p1,22,4.58130577532602,4.822595844652742,4.822595844652742,279.3
E2_label_smoothing_0p1,23,4.564358992808527,4.816917096281185,4.816917096281185,285.9
E2_label_smoothing_0p1,24,4.546998761323749,4.80137310985358,4.80137310985358,289.1
E2_label_smoothing_0p1,25,4.529704928223947,4.79312162477455,4.79312162477455,294.0
E2_label_smoothing_0p1,26,4.516258664852454,4.788364068329963,4.788364068329963,285.8
E2_label_smoothing_0p1,27,4.501013769146474,4.778411239758705,4.778411239758705,277.4
E2_label_smoothing_0p1,28,4.48726749013831,4.762851356225305,4.762851356225305,282.2
E2_label_smoothing_0p1,29,4.474042936899031,4.760976296077598,4.760976296077598,285.9
E2_label_smoothing_0p1,30,4.461761184033573,4.751916966631124,4.751916966631124,288.6
E2_label_smoothing_0p1,31,4.448413590266096,4.748142779608906,4.748142779608906,281.6
E2_label_smoothing_0p1,32,4.436261992987616,4.744666433222689,4.744666433222689,278.9
E2_label_smoothing_0p1,33,4.424531408918691,4.739719183737229,4.739719183737229,283.1
E2_label_smoothing_0p1,34,4.4134928475486035,4.731811502629826,4.731811502629826,289.2
E2_label_smoothing_0p1,35,4.403718664570567,4.726755592808641,4.726755592808641,289.5
E2_label_smoothing_0p1,36,4.394198324416841,4.718570914878766,4.718570914878766,281.6
E2_label_smoothing_0p1,37,4.383115745040928,4.715988225790012,4.715988225790012,281.0
E2_label_smoothing_0p1,38,4.372379219938431,4.711934245922196,4.711934245922196,283.8
E2_label_smoothing_0p1,39,4.362388498497909,4.702916827189389,4.702916827189389,279.8
E2_label_smoothing_0p1,40,4.3541588741127075,4.703972724947877,4.702916827189389,286.2
