model,decoding,examples,bleu,bleu_summary
dictionary_position_baseline,position_dictionary,1000,4.6886371589218525,BLEU = 4.69 39.8/8.5/2.2/0.6 (BP = 1.000 ratio = 1.073 hyp_len = 19524 ref_len = 18194)
tiny_transformer_full_greedy,greedy,1000,6.239936884711959,BLEU = 6.24 32.2/9.9/3.5/1.3 (BP = 1.000 ratio = 1.116 hyp_len = 20081 ref_len = 17999)
