experiment_id,epoch,train_loss,val_loss,best_val_loss,lr,epoch_time_s
E6,1,9.47645219825415,6.259581279166269,6.259581279166269,0.0003,295.3
E6,2,6.044359103300835,5.779277883498914,5.779277883498914,0.0003,290.2
E6,3,5.679623768584522,5.584792151704926,5.584792151704926,0.0003,287.9
E6,4,5.501967934257819,5.442802892744375,5.442802892744375,0.0003,293.2
E6,5,5.371433014489959,5.31403548432118,5.31403548432118,0.0003,288.7
E6,6,5.265866679047802,5.214204869634942,5.214204869634942,0.0003,289.0
E6,7,5.176270930599259,5.1343218239215025,5.1343218239215025,0.0003,291.0
E6,8,5.097445233243702,5.048534497585123,5.048534497585123,0.0003,296.0
E6,9,5.025296171435312,4.982008574600103,4.982008574600103,0.0003,288.6
E6,10,4.957925361314918,4.9157255552678905,4.9157255552678905,0.0003,288.0
E6,11,4.896941349074811,4.855038497616103,4.855038497616103,0.0003,287.7
E6,12,4.842239689613178,4.812498207426411,4.812498207426411,0.0003,292.3
E6,13,4.7923363157344365,4.754463200481971,4.754463200481971,0.0003,292.9
E6,14,4.747567473401145,4.712538401522014,4.712538401522014,0.0003,288.6
E6,15,4.705696082277362,4.671410868686029,4.671410868686029,0.0003,287.0
E6,16,4.668186828886553,4.638159948738268,4.638159948738268,0.0003,290.1
E6,17,4.6328544992954575,4.6051471748084065,4.6051471748084065,0.0003,292.8
E6,18,4.598412916254007,4.577877473028074,4.577877473028074,0.0003,293.3
E6,19,4.566765706015836,4.547512194449586,4.547512194449586,0.0003,286.4
E6,20,4.536141655191331,4.5143353421978185,4.5143353421978185,0.0003,286.8
E6,21,4.508483084601545,4.488543147397859,4.488543147397859,0.0003,283.7
E6,22,4.481034763056641,4.468838544178791,4.468838544178791,0.0003,290.0
E6,23,4.455143545930753,4.441141186829442,4.441141186829442,0.0003,287.3
E6,24,4.429277389093093,4.416076176587198,4.416076176587198,0.0003,287.6
E6,25,4.405094794529384,4.394244472862181,4.394244472862181,0.0003,288.2
E6,26,4.381054720109674,4.373885616529936,4.373885616529936,0.0003,285.6
E6,27,4.360067568487663,4.34805161311134,4.34805161311134,0.0003,286.2
E6,28,4.338974216572103,4.334156686450344,4.334156686450344,0.0003,282.3
E6,29,4.317230430012971,4.318185225817617,4.318185225817617,0.0003,282.0
E6,30,4.297195823210245,4.298866936003723,4.298866936003723,0.0003,282.7
E6,31,4.277955456481312,4.280297301808295,4.280297301808295,0.0003,282.3
E6,32,4.260032610809624,4.266677816182786,4.266677816182786,0.0003,288.4
E6,33,4.242752051136258,4.253735824961775,4.253735824961775,0.0003,287.0
E6,34,4.225291208676534,4.236210136620577,4.236210136620577,0.0003,286.3
E6,35,4.209188659230101,4.225353695074417,4.225353695074417,0.0003,282.5
E6,36,4.192862807336369,4.213918419911992,4.213918419911992,0.0003,283.6
E6,37,4.176251851608242,4.198705752357796,4.198705752357796,0.0003,289.9
E6,38,4.161007817608296,4.1837038884106645,4.1837038884106645,0.0003,285.8
E6,39,4.14748368262805,4.17468915554271,4.17468915554271,0.0003,282.3
E6,40,4.131861771809731,4.171691332788475,4.171691332788475,0.0003,279.9
e6,41,4.116951486536993,4.151746538655345,4.151746538655345,0.0003,918.7
e6,42,4.102196739591882,4.14204478366927,4.14204478366927,0.0003,914.8
e6,43,4.089187216528098,4.128668112635859,4.128668112635859,0.0003,926.7
e6,44,4.0765873333692495,4.119972183598513,4.119972183598513,0.0003,919.3
e6,45,4.064066519480206,4.1079615429050484,4.1079615429050484,0.0003,917.0
e6,46,4.050517633128687,4.1006892279419915,4.1006892279419915,0.0003,909.8
e6,47,4.03831297209273,4.105947112109461,4.1006892279419915,0.0003,917.4
e6,48,4.027626238961729,4.0937864560002115,4.0937864560002115,0.0003,928.1
e6,49,4.0138768395385975,4.089257010068914,4.089257010068914,0.0003,912.1
e6,50,4.003537725798018,4.070253408890334,4.070253408890334,0.0003,915.9
e6,51,3.9928832915869688,4.071989637381921,4.070253408890334,0.0003,910.2
e6,52,3.9820068262899277,4.06250478480943,4.06250478480943,0.0003,917.2
e6,53,3.969188971246715,4.052865697984748,4.052865697984748,0.0003,922.7
e6,54,3.9599035235616755,4.044938461872669,4.044938461872669,0.0003,913.2
e6,55,3.950206739711493,4.038212662504179,4.038212662504179,0.0003,903.3
e6,56,3.939258351027952,4.0262785502986675,4.0262785502986675,0.0003,915.8
e6,57,3.9306990475549006,4.02473650121006,4.02473650121006,0.0003,914.2
e6,58,3.9202693646328934,4.01689768707195,4.01689768707195,0.0003,933.8
e6,59,3.909925074647975,4.012726730090546,4.012726730090546,0.0003,965.3
e6,60,3.901255493690248,4.0105801899025355,4.0105801899025355,0.0003,1456.6
